time,A,B,C,u
2.0100000000000002,0.22763053433690558,0.33924811351566897,0.4359995679294184,0.0
2.02,0.2165882772288697,0.3405400177940517,0.4421779344869533,0.0
2.0300000000000002,0.21694589393250457,0.34439003576041693,0.43438164327294765,0.0
2.04,0.22124552645603365,0.3474823620885986,0.4417933870248834,0.0
2.05,0.22629357035665426,0.3415404596178068,0.42936553845069536,0.0
2.06,0.22404176756271146,0.33905914834358314,0.4235644966174721,0.0
2.07,0.22624172652466715,0.33392292013315916,0.4311857464072175,0.0
2.08,0.2205854277500445,0.3397034806150345,0.43769997449986764,0.0
2.09,0.22172431207895688,0.3401269878872741,0.42224044583911546,0.0
2.1,0.21736408277164115,0.34371721260676896,0.43772166701779963,0.0
2.11,0.22094724757335646,0.34136656430565127,0.43053036120453786,0.0
2.12,0.22492882602146777,0.33783960635243704,0.4226583658476597,0.0
2.13,0.22089638554053556,0.34068414321998364,0.4383897136808742,0.0
2.14,0.22428034486192105,0.3456742490896559,0.44836318478939097,0.0
2.15,0.21956140451794234,0.34074439257304867,0.423448473385686,0.0
2.16,0.21941895657393493,0.3402071657535352,0.45744393500005287,0.0
2.17,0.2221669281216436,0.3396823616324763,0.4369933416487785,0.0
2.18,0.22107269110578276,0.33908749681585176,0.42882400337793775,0.0
2.19,0.22451263434451926,0.34365095526457706,0.43891335671806986,0.0
2.2,0.22262229003758924,0.3454971403243156,0.42010685531514247,0.0
2.21,0.22949955755388096,0.33932986622995426,0.4378793335945787,0.0
2.22,0.22075679326386852,0.33999502139233123,0.43688440449333277,0.0
2.23,0.22067396535502495,0.3439068558352078,0.4149695805196362,0.0
2.24,0.2170235360712571,0.3463651697282228,0.41833052678392363,0.0
2.25,0.22168883969772007,0.3505498018147056,0.4258806375328984,0.0
2.2600000000000002,0.22456836656093748,0.3322060635181019,0.432190990875593,0.0
2.27,0.2182194500026262,0.34696206138666724,0.43856810940948565,0.0
2.2800000000000002,0.22123614379001866,0.3379348035852239,0.43322944199214397,0.0
2.29,0.22459640990665447,0.34540070697393405,0.42779098815429417,0.0
2.3000000000000003,0.22081188792140075,0.34737371630305264,0.44112855269685913,0.0
2.31,0.2190360901715598,0.3536133424598529,0.4398573399918426,0.0
